10/09, ,15h30 - 17h00,S1_CD,Systèmes électroniques,KAROSKI Stephane,E003 - E003, ,N°8,TD
10/09, ,15h30 - 17h30,S1_H,Systèmes électroniques,MICHEL Mikael,E209 - E209, ,N°4,TP
10/09, ,17h30 - 19h30,S1_F,Systèmes électroniques,MICHEL Mikael,E209 - E209, ,N°4,TP
10/10, ,08h00 - 09h30,S1_G,Ad.- Méth. réussite univ.,LEREDDE Alexandre,E215 - E215, ,N°1,TP
10/10, ,08h00 - 09h30,S1_D,Informatique,ABELLARD Alexandre,E202 - E202, ,N°7,TP
10/10, ,08h00 - 11h00,S1_B,Réal. d'ens. pluritechno.,LIEBAUT Jean-francois,E214 - E214, ,N°7,TP
10/10, ,09h00 - 11h00,S1_E,Systèmes électroniques,KAROSKI Stephane,E209 - E209, ,N°4,TP
10/10, ,09h30 - 11h00,S1_G,Expression Communication,ARRIVE Nadege,E215 - E215, ,N°4,TP
10/10, ,09h30 - 12h30,S1_D,Réal. d'ens. pluritechno.,ARLOTTO Philippe,E202 - E202, ,N°7,TP
10/10, ,09h30 - 12h30,S1_C,Réal. d'ens. pluritechno.,REYMOND Corine,E217 - E217, ,N°7,TP
10/10, ,11h00 - 12h30,S1_E,Expression Communication,ARRIVE Nadege,E215 - E215, ,N°4,TP
10/10, ,11h00 - 12h30,S1_B,Informatique,GRIMALDI Michel,E206 - E206, ,N°6,TP
10/10, ,11h00 - 12h30,S1_GH,Systèmes électroniques,KAROSKI Stephane,E001 - E001, ,N°8,TD
10/11, ,08h00 - 09h30,S1_E,Informatique,ARLOTTO Philippe,E213 - E213, ,N°7,TP
10/11, ,08h00 - 09h30,S1_H,Syst. d'information num.,BRAVO Juan,E215 - E215, ,N°2,TP
10/11, ,08h00 - 11h00,S1_F,Réal. d'ens. pluritechno.,KRAMMER Michel,E214 - E214, ,N°7,TP
10/11, ,09h30 - 11h00,S1_GH,Expression Communication,ARRIVE Nadege,E101B - E101, ,N°5,TD
10/11, ,09h30 - 11h00,S1_E,Syst. d'information num.,LIEBAUT Jean-francois,E104 - E104, ,N°2,TP
10/11, ,09h30 - 12h30,S1_A,Réal. d'ens. pluritechno.,REYMOND Corine,E217 - E217, ,N°7,TP
10/11, ,11h00 - 12h30,S1_EF,Expression Communication,ARRIVE Nadege,E101B - E101, ,N°6,TD
10/11, ,11h00 - 12h30,S1_G,Informatique,GIBERT Sylvain,E213 - E213, ,N°6,TP
10/11, ,13h30 - 15h00,S1_H,Ad.- Méth. réussite univ.,LEREDDE Alexandre,E226 - E226, ,N°1,TP
10/11, ,13h30 - 15h30,S1_A,Systèmes électroniques,DEGIOVANNI Eric,E209 - E209, ,N°4,TP
10/11, ,13h30 - 16h30,S1_G,Réal. d'ens. pluritechno.,LELAY Pascal,E217 - E217, ,N°7,TP
10/11, ,14h00 - 15h30,S1_B,Syst. d'information num.,KRAMMER Michel,E214 - E214, ,N°2,TP
10/11, ,15h00 - 16h30,S1_H,Informatique,ABELLARD Alexandre,E206 - E206, ,N°8,TP
10/11, ,15h30 - 17h30,S1_B,Systèmes électroniques,DEGIOVANNI Eric,E209 - E209, ,N°4,TP
